Plate,Annotation
191121enzyme1,d3g
191121enzyme1,d4g
191121enzyme1,d4g
191121enzyme1,d4g
191121enzyme1,d4g
191121enzyme1,d4g
191121enzyme1,d1c
191121enzyme1,d1c
191121enzyme1,d1c
191121enzyme1,d1c
191121enzyme1,d1c
191121enzyme1,d2c
191121enzyme1,d2c
191121enzyme1,d2c
191121enzyme1,d2c
191121enzyme1,d2c
191121enzyme1,d3c
191121enzyme1,d3c
191121enzyme1,d3c
191121enzyme1,d3c
191121enzyme1,d3c
191121enzyme1,d4c
191121enzyme1,d4c
191121enzyme1,d4c
191121enzyme1,d4c
191121enzyme1,d4c
191121enzyme1,AS
191121enzyme1,AS
